issuer_id,instrument_id,exchange,listing_id,isin,symbol,listing_date,end_date,status,identity_status,predecessor_instrument_id,successor_instrument_id
,ins_4cf8b2bdbeb97f04,NSE,,,ANANDRATHI,2021-12-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_cb479957b91a4108,NSE,,,ANANTRAJ,2006-09-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3ae7e32135a46439,NSE,,,ANGELONE,2020-10-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8355a0062c770cea,NSE,,,APLAPOLLO,2011-12-14,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e4333b7cd98e8382,NSE,,,APOLLOHOSP,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3f0c38e697ced027,NSE,,,APTUS,2021-08-24,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_f56f9b4070d64267,NSE,,,ARE&M,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_bb226c239da648b1,NSE,,,ASHOKLEY,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_8fd60ce1d373f6a0,NSE,,,ASIANPAINT,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_b99a63a30ee0852d,NSE,,,ASTERDM,2018-02-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_1c64ddd1091a4689,NSE,,,ASTRAL,2007-03-20,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_72c37b2c690a3d55,NSE,,,ATGL,2018-11-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2f37048e7b3ee292,NSE,,,ATHERENERG,2025-05-06,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a3680a4a6975be6d,NSE,,,AUBANK,2017-07-10,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_323e5f4a2d9582d6,NSE,,,AUROPHARMA,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_37047bf28f3c1d16,NSE,,,AXISBANK,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_e6c72f89f38e84b3,NSE,,,BAJAJ-AUTO,2008-05-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_7d0aeffa9a7dc17d,NSE,,,BAJAJFINSV,2008-05-26,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_0fe74c0cd70f1b87,NSE,,,BAJAJHLDNG,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_4faaf82d5dac4fc9,NSE,,,BAJFINANCE,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_37a42367093472d6,NSE,,,BANDHANBNK,2018-03-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ad8f8d8917ddf10a,NSE,,,BANKBARODA,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_306f63e67f91e262,NSE,,,BANKINDIA,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_3720b78e3d14f9ee,NSE,,,BDL,2018-03-23,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_41d28e05e849305e,NSE,,,BEML,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_969a3e1a67e80f65,NSE,,,BHARATFORG,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_82781f1cdb1cd505,NSE,,,BHARTIARTL,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_a7e4e78e7df2c0e4,NSE,,,BHEL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_69607ab608ab1f1c,NSE,,,BIOCON,2004-04-07,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_62085c85571f7a3e,NSE,,,BLS,2016-06-15,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_6b74c59be49a126f,NSE,,,BLUESTARCO,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2bd2763bc548ab44,NSE,,,BOSCHLTD,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_10f7839c8f99cfb4,NSE,,,BPCL,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_414ec820d12e8776,NSE,,,BRIGADE,2007-12-31,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_dc46334ac5af39a9,NSE,,,BRITANNIA,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_45dc57412390e12f,NSE,,,BSE,2017-02-03,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_67d07393d947f227,NSE,,,CAMS,2020-10-05,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_ff220518430e3eed,NSE,,,CANBK,2003-01-01,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_b519febadbd7bc71,NSE,,,CASTROLIND,2007-08-16,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_31d59186e04d2147,NSE,,,CDSL,2017-06-30,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_2bd8ca90ee1f99fb,NSE,,,CESC,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_72880015a750f2f4,NSE,,,CGCL,2010-10-29,,CURRENTLY_ACTIVE,UNRESOLVED,,
,ins_494d9cbcfc85e080,NSE,,,CGPOWER,2003-01-27,,CURRENTLY_ACTIVE,UNRESOLVED,,
