instrument_id,exchange,symbol,valid_from,valid_to,source_id,identity_status
ins_4faaf82d5dac4fc9,NSE,BAJFINANCE,,,local_filename_only,UNRESOLVED
ins_37a42367093472d6,NSE,BANDHANBNK,,,local_filename_only,UNRESOLVED
ins_ad8f8d8917ddf10a,NSE,BANKBARODA,,,local_filename_only,UNRESOLVED
ins_306f63e67f91e262,NSE,BANKINDIA,,,local_filename_only,UNRESOLVED
ins_3720b78e3d14f9ee,NSE,BDL,,,local_filename_only,UNRESOLVED
ins_41d28e05e849305e,NSE,BEML,,,local_filename_only,UNRESOLVED
ins_969a3e1a67e80f65,NSE,BHARATFORG,,,local_filename_only,UNRESOLVED
ins_82781f1cdb1cd505,NSE,BHARTIARTL,,,local_filename_only,UNRESOLVED
ins_a7e4e78e7df2c0e4,NSE,BHEL,,,local_filename_only,UNRESOLVED
ins_69607ab608ab1f1c,NSE,BIOCON,,,local_filename_only,UNRESOLVED
ins_62085c85571f7a3e,NSE,BLS,,,local_filename_only,UNRESOLVED
ins_6b74c59be49a126f,NSE,BLUESTARCO,,,local_filename_only,UNRESOLVED
ins_2bd2763bc548ab44,NSE,BOSCHLTD,,,local_filename_only,UNRESOLVED
ins_10f7839c8f99cfb4,NSE,BPCL,,,local_filename_only,UNRESOLVED
ins_414ec820d12e8776,NSE,BRIGADE,,,local_filename_only,UNRESOLVED
ins_dc46334ac5af39a9,NSE,BRITANNIA,,,local_filename_only,UNRESOLVED
ins_45dc57412390e12f,NSE,BSE,,,local_filename_only,UNRESOLVED
ins_67d07393d947f227,NSE,CAMS,,,local_filename_only,UNRESOLVED
ins_ff220518430e3eed,NSE,CANBK,,,local_filename_only,UNRESOLVED
ins_b519febadbd7bc71,NSE,CASTROLIND,,,local_filename_only,UNRESOLVED
ins_31d59186e04d2147,NSE,CDSL,,,local_filename_only,UNRESOLVED
ins_2bd8ca90ee1f99fb,NSE,CESC,,,local_filename_only,UNRESOLVED
ins_72880015a750f2f4,NSE,CGCL,,,local_filename_only,UNRESOLVED
ins_494d9cbcfc85e080,NSE,CGPOWER,,,local_filename_only,UNRESOLVED
ins_d2e3ec640e9dace7,NSE,CHAMBLFERT,,,local_filename_only,UNRESOLVED
ins_9123fae8685ad9a6,NSE,CHOLAFIN,,,local_filename_only,UNRESOLVED
ins_52967442a1dcf314,NSE,CHOLAHLDNG,,,local_filename_only,UNRESOLVED
ins_2bf5f58b0f8aa78c,NSE,CIPLA,,,local_filename_only,UNRESOLVED
ins_2362bb3e8f2bfdf4,NSE,COALINDIA,,,local_filename_only,UNRESOLVED
ins_428747df6aaa9f27,NSE,COCHINSHIP,,,local_filename_only,UNRESOLVED
ins_4ef5e6b8369542d6,NSE,COFORGE,,,local_filename_only,UNRESOLVED
ins_e8f1259b3b35b33d,NSE,COHANCE,,,local_filename_only,UNRESOLVED
ins_7cbef930f1c8977a,NSE,COLPAL,,,local_filename_only,UNRESOLVED
