symbol,date,close_to_close_return,classification
HINDPETRO,2008-09-02 00:00:00,0.4186046511627908,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
HINDPETRO,2013-08-28 00:00:00,-0.4,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
HINDZINC,2006-11-21 00:00:00,59.06896551724138,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IDEA,2020-02-19 00:00:00,0.40000000000000013,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
INDIAVIX,2015-08-24 00:00:00,0.6431074766355138,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
INDIAVIX,2024-08-05 00:00:00,0.42248603351955305,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
INDIAVIX,2025-04-07 00:00:00,0.65625,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
INDUSINDBK,2020-03-26 00:00:00,0.4467308330567539,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IOC,2003-05-16 00:00:00,inf,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IOC,2003-05-19 00:00:00,-0.41666666666666663,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IOC,2003-05-20 00:00:00,1.5357142857142851,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IOC,2003-05-21 00:00:00,0.7323943661971832,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
IOC,2003-05-30 00:00:00,0.45686900958466437,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
JINDALSTEL,2003-12-19 00:00:00,-0.47468354430379744,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
JINDALSTEL,2003-12-22 00:00:00,0.9375684556407449,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
JMFINANCIL,2006-10-10 00:00:00,220.35714285714283,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
MAZDOCK,2020-10-12 00:00:00,inf,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
