symbol,file,asset_class,sha256,earliest_date,latest_date,observations,missing_trading_sessions,missing_session_pct,large_internal_gaps_gt_5_sessions,largest_internal_gap_sessions,duplicate_dates,zero_or_negative_price_rows,zero_volume_rows,missing_volume_rows,turnover_available,suspected_listing_date,suspected_end_date,activity_status,corporate_action_discontinuities
ANGELONE,ANGELONE_DAILY.csv,EQUITY_CURRENT_MAP,d303068ca1eb09dd151a096e17d4e88b189f50fec749157ee193810b1dde5049,2020-10-05 00:00:00,2026-08-13 00:00:00,1453,0,0.0,0,0,0,0,0,0,False,2020-10-05 00:00:00,,CURRENTLY_ACTIVE,0
APLAPOLLO,APLAPOLLO_DAILY.csv,EQUITY_CURRENT_MAP,8ad2c802523ca23705f88e221565554104523b9bce8677905ea8ef711f487793,2011-12-14 00:00:00,2026-08-13 00:00:00,3624,11,0.3029468465987331,0,0,0,0,2,0,False,2011-12-14 00:00:00,,CURRENTLY_ACTIVE,0
APOLLOHOSP,APOLLOHOSP_DAILY.csv,EQUITY_CURRENT_MAP,2cfdfceee03b0b190add3964cc1e382fafca984b13a02853d81731d1e11d7d15,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
APTUS,APTUS_DAILY.csv,EQUITY_CURRENT_MAP,96c4d6b777e8ad813c341f2d1104f0dfa0053db983d416c9068a394cb8989ac3,2021-08-24 00:00:00,2026-08-13 00:00:00,1233,0,0.0,0,0,0,0,0,0,False,2021-08-24 00:00:00,,CURRENTLY_ACTIVE,0
ARE&M,ARE&M_DAILY.csv,EQUITY_CURRENT_MAP,c07dd51688327c62bc2d43a602c98653c0b1a8848fc9013fa9c35918a9125b00,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
ASHOKLEY,ASHOKLEY_DAILY.csv,EQUITY_CURRENT_MAP,dce3613cb3ea7979bff53743e106cabfc5aca682167069219edc2811be65eb24,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,53,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,28
ASIANPAINT,ASIANPAINT_DAILY.csv,EQUITY_CURRENT_MAP,ed11361a495210ce60e6305316680f3208ff1d2289afcf560a66d4d52d3b5562,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
ASTERDM,ASTERDM_DAILY.csv,EQUITY_CURRENT_MAP,337322d72ef1278134c2f1e81082483ec51d6ff9bc42808c39c473529b0be91f,2018-02-26 00:00:00,2026-08-13 00:00:00,2095,1,0.04780114722753346,0,0,0,0,0,0,False,2018-02-26 00:00:00,,CURRENTLY_ACTIVE,0
ASTRAL,ASTRAL_DAILY.csv,EQUITY_CURRENT_MAP,af379ecd45fe6e29c65a87ca1f7db02df8fdff07efd252299dc1a41196d68766,2007-03-20 00:00:00,2026-08-13 00:00:00,4793,14,0.2914844888611285,0,0,0,0,2,0,False,2007-03-20 00:00:00,,CURRENTLY_ACTIVE,0
ATGL,ATGL_DAILY.csv,EQUITY_CURRENT_MAP,85096089a14e252b31bea9072bf418db8df63075f3b92ac602597a7ce0202adf,2018-11-05 00:00:00,2026-08-13 00:00:00,1925,1,0.05202913631633715,0,0,0,0,0,0,False,2018-11-05 00:00:00,,CURRENTLY_ACTIVE,0
