symbol,company_name,index_name,action,announcement_date,effective_date,source_url,reference_reason
AJOONI,Ajooni Biotech Ltd.,NIFTY SME EMERGE,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
APARINDS,Apar Industries Ltd.,NIFTY 500,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
APARINDS,Apar Industries Ltd.,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
APARINDS,Apar Industries Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
APLLTD,Alembic Pharmaceuticals Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ARTNIRMAN,Art Nirman Ltd.,NIFTY SME EMERGE,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASAHIINDIA,Asahi India Glass Ltd.,NIFTY 500,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASAHIINDIA,Asahi India Glass Ltd.,NIFTY MidSmallcap 400,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASAHIINDIA,Asahi India Glass Ltd.,NIFTY Smallcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASTRAMICRO,Astra Microwave Products Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASTRAZEN,AstraZenca Pharma India Ltd.,NIFTY 500,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASTRAZEN,AstraZenca Pharma India Ltd.,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASTRAZEN,AstraZenca Pharma India Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ASTRAZEN,AstraZenca Pharma India Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ATUL,Atul Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
AVANTIFEED,Avanti Feeds Ltd.,NIFTY LargeMidcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
AVANTIFEED,Avanti Feeds Ltd.,NIFTY Midcap 150,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
AVANTIFEED,Avanti Feeds Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
AVANTIFEED,Avanti Feeds Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
